mawé	mawé
maxí	maxí
mayawé	mayawé
mayesawa	mayesawa
mayuwa	mayuwa
mayé	mayé
maã	maã
maã-itá	maã
maã-puxiwera	maã-puxiwera
maãkití	makití
maãresé	maãresé
maí	maí
maíwa	maíwa
maíwa-itá	maíwa
maĩ	maĩ
mbira	mbira
mbira-itá	mbira
me	upé
membeka	membeka
membira	membira
membira-itá	membira
membí	membí
membí-etá	membí
memí	memí
mena	mena
mena-etá	mena
mena-itá	mena
menasara	menasara
mendarisawa	mendarisawa
mendasara	mendasara
mené	mewé
merupiára	merupiára
merupí	merupí
mewé	mewé
meyú	meyú
meza	meza
meẽ	meẽ
meẽsara	meẽsara
mi	mi
miapé	miapé
miarerú	temiarerú
miasuasawa	miasuasawa
miasúa	miasúa
miguel	miguel
mikití	mikití
mikura	mikura
mimbira	mimbira
mimbira-itá	mimbira
mimi	mimi
mimiwara	mimiwara
mira	mira
mira-etá	mira
mira-itá	mira
mirapara	mirapara
mirasawa	mirasawa
mirawasutiwa	mirawasú
mirawasú	mirá
miraí	miraí
mirikú	simirikú
mirití	mirití
mirá	mirá
mirá-etá	mirá
mirá-itawasú	mirá
mirá-itá	mirá
mirá-piranga	mirá-piranga
mirá-pirangawasú	mirá-piranga
miráwasú	mirá
mirĩ	mirĩ
mirĩ-itá	mirĩ
misa	misa
missão	missão
misteriu	misteriu
mitima	mitima
mituuwasú	mituú
mituú	mituú
mitá	mitá
mitú	mitú
mixiri	mixiri
miára	semiára
muakara	muakara
muapisí	muapisí
muapusara	muapusara
muapusawa	muapusawa
muirakitã	muirakitã
muirasanga	muirasanga
muiriira	muiriira
muirá	muirá
muizé	muizé
mujekawasú	mujeka
mukawa	mukawa
mukaú	mukaú
mukaẽ	mukaẽ
mukuna	mukuna
mukura	mikura
mukweré	mukweré
mukũi	mukũi
mukũi-itá	mukũi-itá
mukũisawa	mukũisawa
mumi	mimi
munawasú	munawasú
mundawasú	mundawasú
mundu	mundu
mundurukú	mundurukú
mundurukú-itá	mundurukú
mundusawa	mundusawa
mundusawa-itá	mundusawa
mundá	mundá
mundé	mundé
mundú	mundú
mungitasawa	mungitasawa
munhangara	munhangara
munhã	munhã
munhãsawa	munhãsawa
munuka	munuka
munú	munú
muraikí	muraikí
murakisara	murakisara
murakí	murakí
murasí	murasí
murukututú	murukututú
murumurú	murumurú
murutinga	murutinga
musapiri	musapiri
mutaraíma	mutaraíma
muxiwa	muxiwa
muyepé	yepé
muyuí	muyuí
muíri	muíri
médico	médico
mú	mú
mú-itá	mú
mũ	mũ
n	ne
namipura	namipura
namí	namí
naranha	naranha
navio	navio
ne	ne
nema	nema
nemasá	nemasá
nharú	nharú
nhaã	nhaã
nhaã-itá	nhaã
nhaãsé	nhaãsé
nheenga	nheenga
nheenga-itá	nheenga
nheengari	nheengari
nheengarisawa	nheengarisawa
nheengatú	nheengatú
nheengawasú	nheenga
nhunte	nhunte
nhuntu	nhuntu
nhãpirikuli	nhãpirikuli
nhũ	nhũ
noiva	noiva
noivo	noivo
nove	nove
nti	nti
ntu	ntu
nuká	nuká
nunca	nunca
nungara	nungara
nupá	nupá
nẽ	nẽ
oh	oh
oho	oho
oito	oitu
oitu	oitu
p	pá
paiu	paĩ
paka	paka
pakará	pakará
pakúa	pakúa
pakúa-itá	pakúa
pamarí-itá	pamarí
pana	pana
panakarika	panakarika
panakú	panakú
panemawasú	panema
panera	panera
panhẽ	panhẽ
panu	panu
panuwasú	panu
papera	papera
papá	papá
paraman	paraman
paramã	paramã
paranawasú	paranawasú
paraná	paraná
paranã	paranã
paranãwasú	paranãwasú
paratú	paratú
parawá	parawá
pariká	pariká
pasú	sú
patawá	patawá
patrão	patrão
